,title,caption,category,description,url,legiscan,congress
68,US SB2394,GUARD Act Guaranteeing Unalienable and Anatomical Rights for Dependents,HEALTHCARE,GUARD Act Guaranteeing Unalienable and Anatomical Rights for Dependents,https://translegislation.com//bills/2024/US/SB2394,https://legiscan.com/US/text/SB2394/id/2836690,https://www.congress.gov/bill/118th-congress/senate-bill/2394/all-info
69,US SB2797,Protecting Conscience in Our Health Care Act,HEALTHCARE,Protecting Conscience in Our Health Care Act,https://translegislation.com//bills/2024/US/SB2797,https://legiscan.com/US/text/SB2797/id/2841880,https://www.congress.gov/bill/118th-congress/senate-bill/2797/all-info
70,US SB3035,Protecting Our Kids from Harmful Research Act,HEALTHCARE,Protecting Our Kids from Harmful Research Act,https://translegislation.com//bills/2024/US/SB3035,https://legiscan.com/US/text/SB3035/id/2844163,https://www.congress.gov/bill/118th-congress/senate-bill/3035/all-info
71,US SB3438,SAFE Home Act Sensible Adoption For Every Home Act,OTHER,SAFE Home Act Sensible Adoption For Every Home Act,https://translegislation.com//bills/2024/US/SB3438,https://legiscan.com/US/text/SB3438/id/2865749,https://www.congress.gov/bill/118th-congress/senate-bill/3438/all-info
72,US SB3729,Protection of Women in Olympic and Amateur Sports Act,SPORTS,Protection of Women in Olympic and Amateur Sports Act,https://translegislation.com//bills/2024/US/SB3729,https://legiscan.com/US/text/SB3729/id/2927908,https://www.congress.gov/bill/118th-congress/senate-bill/3729/all-info
73,US SB435,Ensuring Military Readiness Act of 2023,MILITARY,Ensuring Military Readiness Act of 2023,https://translegislation.com//bills/2024/US/SB435,https://legiscan.com/US/text/SB435/id/2727671,https://www.congress.gov/bill/118th-congress/senate-bill/435/all-info
74,US SB457,Protecting Our Kids from Child Abuse Act,HEALTHCARE,Protecting Our Kids from Child Abuse Act,https://translegislation.com//bills/2024/US/SB457,https://legiscan.com/US/text/SB457/id/2734132,https://www.congress.gov/bill/118th-congress/senate-bill/457/all-info
75,US SB4638,Military Construction Authorization Act for Fiscal Year 2025,HEALTHCARE,Military Construction Authorization Act for Fiscal Year 2025,https://translegislation.com//bills/2024/US/SB4638,https://legiscan.com/US/text/SB4638/id/3014404,https://www.congress.gov/bill/118th-congress/senate-bill/4638/all-info
76,US SB613,Protection of Women and Girls in Sports Act of 2023,SPORTS,Protection of Women and Girls in Sports Act of 2023,https://translegislation.com//bills/2024/US/SB613,https://legiscan.com/US/text/SB613/id/2746832,https://www.congress.gov/bill/118th-congress/senate-bill/613/all-info
77,US SB635,Protecting Minors from Medical Malpractice Act of 2023,HEALTHCARE,Protecting Minors from Medical Malpractice Act of 2023,https://translegislation.com//bills/2024/US/SB635,https://legiscan.com/US/text/SB635/id/2752091,https://www.congress.gov/bill/118th-congress/senate-bill/635/all-info
78,US SB752,Preventing Violence Against Female Inmates Act of 2023,INCARCERATION,Preventing Violence Against Female Inmates Act of 2023,https://translegislation.com//bills/2024/US/SB752,https://legiscan.com/US/text/SB752/id/2760328,https://www.congress.gov/bill/118th-congress/senate-bill/752/all-info
79,US SJR90,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Health and Human Services relating to ""Nondiscrimination in Health Programs and Activities"".",HEALTHCARE,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Health and Human Services relating to ""Nondiscrimination in Health Programs and Activities"".",https://translegislation.com//bills/2024/US/SJR90,https://legiscan.com/US/text/SJR90/id/3003899,https://www.congress.gov/bill/118th-congress/senate-joint-resolution/90/all-info
80,US SJR96,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Education relating to ""Nondiscrimination on the Basis of Sex in Education Programs or Activities Receiving Federal Financial Assistance"".",EDUCATION,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Education relating to ""Nondiscrimination on the Basis of Sex in Education Programs or Activities Receiving Federal Financial Assistance"".",https://translegislation.com//bills/2024/US/SJR96,https://legiscan.com/US/text/SJR96/id/3009679,https://www.congress.gov/bill/118th-congress/senate-joint-resolution/96/all-info
81,US SR267,"A resolution supporting the designation of the week of June 18 through June 24, 2023, as ""National Women's Sports Week"" to celebrate the anniversary of the enactment of title IX of the Education Amendments of 1972 and the growth of women's sports.",SPORTS,"A resolution supporting the designation of the week of June 18 through June 24, 2023, as ""National Women's Sports Week"" to celebrate the anniversary of the enactment of title IX of the Education Amendments of 1972 and the growth of women's sports.",https://translegislation.com//bills/2024/US/SR267,https://legiscan.com/US/text/SR267/id/2831179,https://www.congress.gov/bill/118th-congress/senate-resolution/267/all-info
82,US SR53,A resolution establishing a Women's Bill of Rights to reaffirm legal protections afforded to women under Federal law.,CIVIL RIGHTS,A resolution establishing a Women's Bill of Rights to reaffirm legal protections afforded to women under Federal law.,https://translegislation.com//bills/2024/US/SR53,https://legiscan.com/US/text/SR53/id/2696872,https://www.congress.gov/bill/118th-congress/senate-resolution/53/all-info
83,US SR669,"A resolution designating October 10, 2024, as ""American Girls in Sports Day"".",SPORTS,"A resolution designating October 10, 2024, as ""American Girls in Sports Day"".",https://translegislation.com//bills/2024/US/SR669,https://legiscan.com/US/text/SR669/id/2998369,https://www.congress.gov/bill/118th-congress/senate-resolution/669/all-info
