Legislation Number,URL,Congress,Bill Text Type,Bill Text Type Code,Latest Title,HTML Url,PDF Url
H.R. 1,https://www.congress.gov/bill/117th-congress/house-bill/1,117,Engrossed in House,EH,For the People Act of 2021,https://www.congress.gov/117/bills/hr1/generated/BILLS-117hr1eh.html,https://www.congress.gov/117/bills/hr1/BILLS-117hr1eh.pdf
H.R. 1,https://www.congress.gov/bill/117th-congress/house-bill/1,117,Received in Senate,RDS,For the People Act of 2021,https://www.congress.gov/117/bills/hr1/generated/BILLS-117hr1rds.html,https://www.congress.gov/117/bills/hr1/BILLS-117hr1rds.pdf
H.R. 6205,https://www.congress.gov/bill/117th-congress/house-bill/6205,117,Introduced in House,IH,EDUCATORS for America Act,https://www.congress.gov/117/bills/hr6205/generated/BILLS-117hr6205ih.html,https://www.congress.gov/117/bills/hr6205/BILLS-117hr6205ih.pdf
H.R. 7780,https://www.congress.gov/bill/117th-congress/house-bill/7780,117,Engrossed in House,EH,Mental Health Matters Act,https://www.congress.gov/117/bills/hr7780/generated/BILLS-117hr7780eh.html,https://www.congress.gov/117/bills/hr7780/BILLS-117hr7780eh.pdf
H.R. 7780,https://www.congress.gov/bill/117th-congress/house-bill/7780,117,Referred in Senate,RFS,Mental Health Matters Act,https://www.congress.gov/117/bills/hr7780/generated/BILLS-117hr7780rfs.html,https://www.congress.gov/117/bills/hr7780/BILLS-117hr7780rfs.pdf
H.R. 6577,https://www.congress.gov/bill/117th-congress/house-bill/6577,117,Reported in House,RH,"Real Courts, Rule of Law Act of 2022",https://www.congress.gov/117/bills/hr6577/generated/BILLS-117hr6577rh.html,https://www.congress.gov/117/bills/hr6577/BILLS-117hr6577rh.pdf
H.R. 2451,https://www.congress.gov/bill/117th-congress/house-bill/2451,117,Introduced in House,IH,America's Clean Future Fund Act,https://www.congress.gov/117/bills/hr2451/generated/BILLS-117hr2451ih.html,https://www.congress.gov/117/bills/hr2451/BILLS-117hr2451ih.pdf
H.R. 3524,https://www.congress.gov/bill/117th-congress/house-bill/3524,117,Reported in House,RH,Ensuring American Global Leadership and Engagement Act,https://www.congress.gov/117/bills/hr3524/generated/BILLS-117hr3524rh.html,https://www.congress.gov/117/bills/hr3524/BILLS-117hr3524rh.pdf
H.R. 1,https://www.congress.gov/bill/117th-congress/house-bill/1,117,Introduced in House,IH,For the People Act of 2021,https://www.congress.gov/117/bills/hr1/generated/BILLS-117hr1ih.html,https://www.congress.gov/117/bills/hr1/BILLS-117hr1ih.pdf
H.R. 9623,https://www.congress.gov/bill/117th-congress/house-bill/9623,117,Introduced in House,IH,Anti-Corruption and Public Integrity Act,https://www.congress.gov/117/bills/hr9623/generated/BILLS-117hr9623ih.html,https://www.congress.gov/117/bills/hr9623/BILLS-117hr9623ih.pdf
H.R. 6425,https://www.congress.gov/bill/117th-congress/house-bill/6425,117,Introduced in House,IH,AID Act,https://www.congress.gov/117/bills/hr6425/generated/BILLS-117hr6425ih.html,https://www.congress.gov/117/bills/hr6425/BILLS-117hr6425ih.pdf
H.R. 3000,https://www.congress.gov/bill/117th-congress/house-bill/3000,117,Introduced in House,IH,Inspire to Serve Act of 2021,https://www.congress.gov/117/bills/hr3000/generated/BILLS-117hr3000ih.html,https://www.congress.gov/117/bills/hr3000/BILLS-117hr3000ih.pdf
H.R. 2471,https://www.congress.gov/bill/117th-congress/house-bill/2471,117,Public Law,PL,"Consolidated Appropriations Act, 2022",https://www.congress.gov/117/plaws/publ103/generated/PLAW-117publ103_uslm.html,https://www.congress.gov/117/plaws/publ103/PLAW-117publ103.pdf
H.R. 2471,https://www.congress.gov/bill/117th-congress/house-bill/2471,117,Engrossed Amendment House,EAH,"Consolidated Appropriations Act, 2022",https://www.congress.gov/117/bills/hr2471/generated/BILLS-117hr2471eah.html,https://www.congress.gov/117/bills/hr2471/BILLS-117hr2471eah.pdf
H.R. 2471,https://www.congress.gov/bill/117th-congress/house-bill/2471,117,Enrolled Bill,ENR,"Consolidated Appropriations Act, 2022",https://www.congress.gov/117/bills/hr2471/generated/BILLS-117hr2471enr.html,https://www.congress.gov/117/bills/hr2471/BILLS-117hr2471enr.pdf
H.R. 7258,https://www.congress.gov/bill/117th-congress/house-bill/7258,117,Introduced in House,IH,Health Care Equality and Modernization Act of 2022,https://www.congress.gov/117/bills/hr7258/generated/BILLS-117hr7258ih.html,https://www.congress.gov/117/bills/hr7258/BILLS-117hr7258ih.pdf
