Legislation Number,URL,Congress,Bill Text Type,Bill Text Type Code,Latest Title,HTML Url,PDF Url
S. 1229,https://www.congress.gov/bill/118th-congress/senate-bill/1229,118,Introduced in Senate,IS,Green New Deal for Health Act,https://www.congress.gov/118/bills/s1229/generated/BILLS-118s1229is.html,https://www.congress.gov/118/bills/s1229/BILLS-118s1229is.pdf
S. 2877,https://www.congress.gov/bill/118th-congress/senate-bill/2877,118,Introduced in Senate,IS,Earn to Learn Act,https://www.congress.gov/118/bills/s2877/generated/BILLS-118s2877is.html,https://www.congress.gov/118/bills/s2877/BILLS-118s2877is.pdf
S. 2128,https://www.congress.gov/bill/118th-congress/senate-bill/2128,118,Introduced in Senate,IS,Strengthening Medicaid for Serious Mental Illness Act,https://www.congress.gov/118/bills/s2128/generated/BILLS-118s2128is.html,https://www.congress.gov/118/bills/s2128/BILLS-118s2128is.pdf
S. 1710,https://www.congress.gov/bill/118th-congress/senate-bill/1710,118,Introduced in Senate,IS,Perinatal Workforce Act,https://www.congress.gov/118/bills/s1710/generated/BILLS-118s1710is.html,https://www.congress.gov/118/bills/s1710/BILLS-118s1710is.pdf
S. 662,https://www.congress.gov/bill/118th-congress/senate-bill/662,118,Introduced in Senate,IS,STEM RESTART Act,https://www.congress.gov/118/bills/s662/generated/BILLS-118s662is.html,https://www.congress.gov/118/bills/s662/BILLS-118s662is.pdf
S. 2188,https://www.congress.gov/bill/118th-congress/senate-bill/2188,118,Introduced in Senate,IS,PrEP Access and Coverage Act of 2023,https://www.congress.gov/118/bills/s2188/generated/BILLS-118s2188is.html,https://www.congress.gov/118/bills/s2188/BILLS-118s2188is.pdf
S. 3178,https://www.congress.gov/bill/118th-congress/senate-bill/3178,118,Introduced in Senate,IS,Immigration Court Efficiency and Children's Court Act of 2023,https://www.congress.gov/118/bills/s3178/generated/BILLS-118s3178is.html,https://www.congress.gov/118/bills/s3178/BILLS-118s3178is.pdf
S. 2239,https://www.congress.gov/bill/118th-congress/senate-bill/2239,118,Introduced in Senate,IS,Kira Johnson Act,https://www.congress.gov/118/bills/s2239/generated/BILLS-118s2239is.html,https://www.congress.gov/118/bills/s2239/BILLS-118s2239is.pdf
S. 1999,https://www.congress.gov/bill/118th-congress/senate-bill/1999,118,Introduced in Senate,IS,Right to Contraception Act,https://www.congress.gov/118/bills/s1999/generated/BILLS-118s1999is.html,https://www.congress.gov/118/bills/s1999/BILLS-118s1999is.pdf
S. 1744,https://www.congress.gov/bill/118th-congress/senate-bill/1744,118,Introduced in Senate,IS,SCORE for Small Business Act of 2023,https://www.congress.gov/118/bills/s1744/generated/BILLS-118s1744is.html,https://www.congress.gov/118/bills/s1744/BILLS-118s1744is.pdf
S. 1677,https://www.congress.gov/bill/118th-congress/senate-bill/1677,118,Introduced in Senate,IS,Democracy Restoration Act of 2023,https://www.congress.gov/118/bills/s1677/generated/BILLS-118s1677is.html,https://www.congress.gov/118/bills/s1677/BILLS-118s1677is.pdf
S. 1664,https://www.congress.gov/bill/118th-congress/senate-bill/1664,118,Introduced in Senate,IS,Healthy Families Act,https://www.congress.gov/118/bills/s1664/generated/BILLS-118s1664is.html,https://www.congress.gov/118/bills/s1664/BILLS-118s1664is.pdf
S. 1664,https://www.congress.gov/bill/118th-congress/senate-bill/1664,118,Reported to Senate,RS,Healthy Families Act,https://www.congress.gov/118/bills/s1664/generated/BILLS-118s1664rs.html,https://www.congress.gov/118/bills/s1664/BILLS-118s1664rs.pdf
S. 923,https://www.congress.gov/bill/118th-congress/senate-bill/923,118,Introduced in Senate,IS,Better Mental Health Care for Americans Act,https://www.congress.gov/118/bills/s923/generated/BILLS-118s923is.html,https://www.congress.gov/118/bills/s923/BILLS-118s923is.pdf
S. 2438,https://www.congress.gov/bill/118th-congress/senate-bill/2438,118,Reported to Senate,RS,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",https://www.congress.gov/118/bills/s2438/generated/BILLS-118s2438rs.html,https://www.congress.gov/118/bills/s2438/BILLS-118s2438rs.pdf
S. 2646,https://www.congress.gov/bill/118th-congress/senate-bill/2646,118,Introduced in Senate,IS,HEAL for Immigrant Families Act of 2023,https://www.congress.gov/118/bills/s2646/generated/BILLS-118s2646is.html,https://www.congress.gov/118/bills/s2646/BILLS-118s2646is.pdf
S. 2417,https://www.congress.gov/bill/118th-congress/senate-bill/2417,118,Introduced in Senate,IS,Addressing Teacher Shortages Act of 2023,https://www.congress.gov/118/bills/s2417/generated/BILLS-118s2417is.html,https://www.congress.gov/118/bills/s2417/BILLS-118s2417is.pdf
